Lambda0000,,Lambda0010,,Lambda0030,,Lambda0100,,Lambda0300,
X,Y,X,Y,X,Y,X,Y,X,Y
0.7101648351648352,2.9803271441202472,0.05758406696493,2.8962837883472545,0.023565552646228075,5.863550654883061,0.07535874069645178,6.4536262243288185,0.4279606416097974,7.945335766646499
0.7445054945054945,3.08338069976001,0.06651392697358928,2.822363458499189,0.02377816836071997,5.769254363576515,0.07791012927035441,6.362505483130443,0.4373157330474404,7.971753435798852
0.7774725274725276,3.186450044208665,0.0758690184112323,2.7620890140460554,0.02526647836216317,5.6553729879488435,0.08033394841556192,6.282772635108955,0.44667082448508344,8.00399370959635
0.8076923076923077,3.324033724895794,0.08522410984887534,2.7134597788832115,0.025861802362740452,5.563207252733034,0.08238923365565017,6.212769929386996,0.45602591592272645,8.03688093946553
0.8379120879120879,3.4616174055829223,0.09457920128651838,2.67518184086729,0.027392635507082055,5.463795639136908,0.08522410984887534,6.128821750805318,0.46538100736036947,8.076561208087378
0.8653846153846154,3.6337154225085255,0.1039342927241614,2.6446673757115624,0.028243098365049582,5.371271145451129,0.08820072985176176,6.052284981305814,0.4747360987980125,8.11688843278091
0.8914835164835165,3.817323481116584,0.11328938416180444,2.619975515200979,0.029518792652000928,5.277259156383501,0.09160258128363195,5.956172902920331,0.4840911902356556,8.162391306047901
0.9148351648351648,4.023951623089554,0.12264447559944748,2.6004593032638565,0.030794486938952245,5.180281951987327,0.09500443271550214,5.861839953731977,0.4934462816732986,8.214363740031722
0.9354395604395606,4.288082607048124,0.13199956703709048,2.586118739900197,0.0316449497969198,5.090129630564385,0.09883151557635612,5.772305765658292,0.5028013731109416,8.268600520266432
0.9546703296703297,4.59820639130984,0.14135465847473355,2.5711312204648546,0.03300569036966787,5.0044785711797415,0.10308382986619384,5.685435383662725,0.5121564645485847,8.321219910321934
0.9697802197802198,4.97734305923961,0.15070974991237657,2.562936739782182,0.03504680122878999,4.909805436848201,0.10733614415603158,5.598565001667156,0.5215115559862277,8.38127929520179
0.9766483516483516,5.207149172666414,0.16006484135001964,2.557006605350397,0.03708791208791211,4.78808953872032,0.11201368987485312,5.512045557793439,0.5274647959920006,8.41970475342087
0.9835164835164835,5.471438044713906,0.16941993278766265,2.5523703830619793,0.03844865266066018,4.701015175977975,0.11669123559367463,5.434065934065934,,
0.9876373626373626,5.793229758747,0.17877502422530567,2.5412646000567323,0.0404897635197823,4.613695775661228,0.12136878131249614,5.359525960119542,,
0.993131868131868,6.172476948339018,0.18813011566294868,2.5382457679475205,0.04270096695049792,4.516529905366678,0.1268967898892852,5.279825208110127,,
0.9945054945054944,6.65521978021978,0.19748520710059175,2.5381382381608812,0.044827124095416795,4.424880313126739,0.13285002989505806,5.201983418018224,,
0.9986263736263737,7.32183908045977,0.20684029853823477,2.538030708374242,0.04729346638352268,4.328956900639633,0.13965373275879844,5.118935665629719,,
0.9986263736263737,8.333333333333334,0.21619538997587778,2.5379231785876017,0.05078036410118962,4.2380033193823055,0.14730789848050635,5.033844847295063,,
,,0.22555048141352085,2.5378156488009624,0.05375698410407605,4.1587978560871095,0.15538729563119807,4.957170352775904,,
,,0.23490557285116387,2.544501157766992,0.056733604106962474,4.077813263594786,0.16431715563985738,4.882441327838235,,
,,0.24426066428880688,2.546981452267084,0.06056068696781643,3.997174721506739,0.1736722470775004,4.814403410524909,,
,,0.25361575572644995,2.551726093018064,0.06481300125765417,3.9081693844746175,0.1830273385151434,4.751217663749203,,
,,0.26297084716409297,2.554853343589838,0.06949054697647568,3.827698979871135,0.19238242995278643,4.693854521618641,,
,,0.272325938601736,2.558951028269136,0.07501855555326477,3.740203947569542,0.2017375213904295,4.644254852348273,,
,,0.28168103003937905,2.563372190984275,0.08139702698802136,3.6612135438476248,0.2110926128280725,4.600154309687206,,
,,0.29103612147702207,2.5674698756635737,0.08820072985176176,3.5810745264956942,0.22044770426571553,4.56284680577881,,
,,0.3003912129146651,2.574802340701286,0.0958548955734697,3.500391994949476,0.2298027957033586,4.532979296694766,,
,,0.30974630435230815,2.584399151989886,0.10478475558212895,3.4290918371917263,0.2391578871410016,4.503111787610719,,
,,0.31910139578995117,2.591731617027599,0.11413984701977199,3.3636417441651307,0.24851297857864463,4.476479058885088,,
,,0.3284564872275942,2.5971232138502627,0.12349493845741501,3.308219470249618,0.2578680700162877,4.452434154446188,,
,,0.33781157866523726,2.6063965471030226,0.13285002989505806,3.266706751875284,0.2672231614539307,4.433564898580749,,
,,0.34716667010288027,2.6146994462482587,0.14220512133270108,3.2271349017159974,0.27657825289157373,4.416636510930358,,
,,0.3565217615405233,2.6239727795010195,0.15156021277034415,3.1940326122735385,0.2859333443292168,4.4022959475666985,,
,,0.36587685297816636,2.631628722574572,0.16091530420798716,3.164488581225335,0.2952884357668598,4.388602340274721,,
,,0.37523194441580937,2.6421959679706966,0.17027039564563018,3.1401201987505916,0.30464352720450283,4.380407859592047,,
,,0.3845870358534524,2.653410169438506,0.17962548708327325,3.1183396405625814,0.3139986186421459,4.375124681231947,,
,,0.3939421272910954,2.662683502691266,0.18898057852091626,3.1010877748763495,0.3233537100797889,4.3704884589435276,,
,,0.40329721872873847,2.6742211821949153,0.19833566995855928,3.0841593872259585,0.33270880151743193,4.365528758619267,,
,,0.4126523101663815,2.685758861698565,0.20769076139620235,3.070465779933982,0.342063892955075,4.359922102223325,,
,,0.4220074016040245,2.6953556729871666,0.21704585283384537,3.0593599969287357,0.351418984392718,4.362402396723416,,
,,0.4313624930416675,2.7091576987417048,0.22640094427148838,3.051165516246061,0.36077407583036103,4.368117471581921,,
,,0.44071758447931064,2.721989290388721,0.2357560357091314,3.045558859850119,0.3701291672680041,4.372215156261219,,
,,0.45007267591695366,2.734820882035735,0.24511112714677447,3.0389817693466528,0.3794842587056471,4.3772832750480415,,
,,0.4594277673545967,2.748622907790274,0.2544662185844175,3.031434244735661,0.38883935014329013,4.382027915799022,,
,,0.4687828587922397,2.759513631222241,0.2638213100220605,3.0284154126264493,0.39819444158093315,4.389036902800893,,
,,0.4781379502298827,2.776550437335195,0.27317640145970357,3.0266904926606024,0.4075495330185762,4.400251104268701,,
,,0.4874930416675257,2.78938202898221,0.2825314928973466,3.0246420946589154,0.41690462445621923,4.412112261808192,,
